EIN,NAME,ICO,STREET,RAW STREET,CITY,STATE,ZIP,Latitude,Longitude,Accuracy Score,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10591773,CONGREGATION YALKUT HA URIM INC,% RABBI ISRAEL JAKOBOVITZ,6214 BENHURST RD,,BALTIMORE,MD,21209-3807,39.366293,-76.690235,1,0,3,3,7000,200212,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X30,
10609601,STRONG TOWER DELIVERANCE CENTER,% JOSEPH TOWE,100 E PATAPSCO AVE 2ND FL,,BALTIMORE,MD,21225-1733,39.238707,-76.609162,1,0,3,3,7000,200212,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X30,
10613166,BRING IT TO LIFE MINISTRIES,% ARTHUR J ROBINSON,4000 SINCLAIR LN,,BALTIMORE,MD,21213-2134,39.316467,-76.558049,1,0,3,3,7000,200807,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X21,
10615097,KEYS OF FAITH MINISTRIES,% DAVID AND SHARON SMITH,1329 SILVERTHORNE RD,,BALTIMORE,MD,21239-3436,39.351473,-76.595352,1,0,3,3,7100,200602,1,10,000000000,1,1,201812,4,4,6,0,12,447966,100818,100818,X20,
10633518,TRUE WORSHIPPERS CHRISTIAN FELLOWSHIP MINISTRIES,% DAVID J ROBINSON JR,PO BOX 27297,,BALTIMORE,MD,21216-0797,0,0,0,0,3,3,1000,201801,1,15,000000000,1,1,201812,0,0,2,0,12,0,0,0,P30,
10657461,MARYLAND COMMUNITY HEALTH INITIATIVES,,2410 PENNSYLVANIA AVE,,BALTIMORE,MD,21217-1722,39.309329,-76.641798,1,0,3,3,7000,200910,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X20,
10722448,NEW GOOD SAMARITAN BAPTIST CHURCH,% REV DONALD RAY PALMORE,2406 GREENMOUNT AVE,,BALTIMORE,MD,21218-5331,39.316581,-76.609927,1,0,3,3,7000,200306,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X21,
10738255,ALIVE AGAIN BAPTIST MINISTRIES,% WALTER W BROWN JR,2122 E FAIRMOUNT AVE,,BALTIMORE,MD,21231-1641,39.293101,-76.586493,1,0,3,3,1000,200210,1,16,000000000,1,1,201807,5,6,1,0,7,736267,3311599,3311599,E60,
10738366,MINISTERS ON THE MOVE INC,% PAMELLA CYPRESS,PO BOX 67612,,,,,0,0,0,0,3,3,1200,201802,1,16,000000000,1,1,201812,0,0,2,0,12,0,0,0,O50,
10762192,HARRY AND JEANETTE WEINBERG VILLAGE 1 INC,% BRIAN BERUBE COMM LIFE MGMT,5809 PARK HEIGHTS AVE,,BALTIMORE,MD,21215-3931,39.355081,-76.686842,1,0,3,3,7000,200210,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X20,
